序号,一级意图,二级意图,经验知识,商品品类,问题,标准答案
206,商品咨询与推荐,商品对比,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶和玻璃胶哪个防霉效果更好？",亲亲，[发送防霉密封胶商品对比图片]目前店铺防霉效果最好的是这款G-PLUS 18倍防霉密封胶，如果对防霉效果要求比较高可以选择这款哦~https://detail.tmall.com/item.htm?id=681035295767&skuId=5931444260200
207,商品咨询与推荐,商品对比,玻璃胶的防霉倍数越高防水防霉效果越好，干区可用3倍，湿区建议12倍或18倍,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
玻璃胶的12倍防霉和18倍防霉有什么区别？",您好！玻璃胶的防霉倍数代表其防霉性能等级，倍数越高防水防霉效果越好。[发送密封胶商品对比图片]具体区别如下：1）3倍0级防霉款：适合干区使用，如客厅、卧室等不常接触水的区域；2）12倍防霉款：适合一般湿区使用，如厨房台面、普通卫生间；3）18倍防霉款：适合重湿区使用，如淋浴房、马桶底部等长期潮湿环境。用量方面都是一样的，一支150ml可施工5-6米。建议根据使用环境选择合适的防霉等级，湿区环境建议选择12倍或18倍的产品以确保长期防霉效果。这是商品链接亲亲可以选购一下哦https://detail.tmall.com/item.htm?id=681035295767&skuId=5298608406221
208,商品咨询与推荐,商品对比,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
gplus和g30的区别是什么？",亲亲，G-PLUS是0级防霉，防霉能力达到18倍时效，适合长期潮湿的重湿区，比如淋浴房、水槽边；G30是3倍0级防霉，适合轻度潮湿或干区使用，比如窗框、踢脚线。
209,商品咨询与推荐,商品对比,玻璃胶比塑钢泥更环保无味，塑钢泥干后硬化不美观，高湿区域建议选择高倍数防霉玻璃胶,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
玻璃胶和塑钢泥哪个更环保安全？",您好，玻璃胶比塑钢泥更环保一些。塑钢泥属于MS树脂材料，干了之后是硬度更高。玻璃胶是无味的，更适合室内使用。
210,商品咨询与推荐,商品对比,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
玻璃胶和塑钢泥有什么区别？",亲亲，玻璃胶属于弹性密封材料，柔韧性好，防水、防霉、耐老化，能适应热胀冷缩，适合用于洗手盆、马桶、窗框、玻璃与瓷砖缝隙等需要伸缩的部位；而塑钢泥属于硬质修补型材料，固化后坚硬可打磨、可上漆、不收缩，更适合用于孔洞、破损、固定造型或需要承重的修补位置。简单来说，需要弹性密封选玻璃胶，需要硬化修补选塑钢泥。
211,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶用不完该怎么保存？",亲亲，建议一次性使用完成的，如果有剩余，建议及时清洗胶嘴，密封避光保存，短时间内尽快使用完成避免胶体凝固无法使用哦~
212,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
买防霉密封胶送300ml赠品吗？",亲亲，购买12倍及以上防霉款，单支赠送胶枪，其他需要购买两支以上赠送工具哦~
213,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶打完后要等多久才能用？",亲亲，玻璃胶施工后等待完全干燥即可正常使用，常温下大概24小时左右干透，低温潮湿环境下大概48-72小时左右干透哦~
214,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶的防霉效果不好怎么办？",亲亲，防霉密封胶防霉效果不好，通常与基面未彻底清洁除霉、施工时有水分残留、胶层过薄或环境长期潮湿通风差有关。建议先将原有发霉胶体清除，做好除霉消毒并保持基面干燥，再重新满打防霉密封胶，同时加强通风、避免长期积水，这样才能更好发挥防霉效果。这是 3 倍 0 级防霉密封胶的施工教程，您可以参考一下https://cloud.video.taobao.com/vod/pHqx8WlI6dYhwYLIau-u7i81YqHxKMQkMaemMUJ4RG0.mp4
215,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶在潮湿的地方粘得牢吗？",亲亲，不建议带水施工的，施工时环境建议清洁施工面，确保干燥、无灰尘、无油污、无旧胶水效果最好哦~
216,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶的粘性强度怎么样？会不会容易掉？",亲亲，这款粘接力是非常优秀的，轻易是不会掉落的，您可以放心下单~
217,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶粘性强吗？",亲亲，这款粘沾性非常优秀的，正常使用不易脱落，如果使用过程中有任何产品质量问题可以随时与我们联系，会为您提供专业的售后处理哦~
218,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶弄脏了怎么清洁？",亲亲，玻璃胶未干用酒精擦拭，干透用铲刀铲除哦~
219,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶有没有鸭嘴设计？",亲亲，每支密封胶都有搭配的胶嘴，施工时可以根据需要切割合适的切口，方便施工~密封胶施工视频：https://cloud.video.taobao.com/vod/aZOF36_QbszBMnjp2Wu5oO52-EeTfEQmPiBmo3Z2huQ.mp4
220,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶在什么干燥条件下才能干透？",亲亲，玻璃胶施工后等待完全干燥即可正常使用，常温下大概24小时左右干透，低温潮湿环境下大概48-72小时左右干透哦~
221,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶要多久才能干透？",亲亲，玻璃胶常温下24小时左右干透，低温潮湿环境下48-72小时左右干透，具体已您的实际情况为准哦~
222,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶打完后多久能干透正常使用？",亲亲，玻璃胶施工后等待完全干燥即可正常使用，常温下大概24小时左右干透，低温潮湿环境下大概48-72小时左右干透哦~
223,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶是什么材质的？",亲亲，密封胶材质是中性有机硅酮胶，最高具有18倍0级防霉效果，干湿区通用，适用于马桶、灶台、水槽、淋浴房等环境~
224,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
玻璃胶打完要等多久才能正常使用？",亲亲，玻璃胶施工后等待完全干燥即可正常使用，常温下大概24小时左右干透，低温潮湿环境下大概48-72小时左右干透哦~
225,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶贴了美纹纸，什么时候撕掉最合适？",亲亲，美纹纸建议在密封胶施工抹平后立即撕掉，防止密封胶固化变硬，可能连带美纹纸断裂或残留胶渍。
226,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶的产品配置怎么样？防霉效果好吗？",亲亲，不同配置的密封胶方面效果也有差异哦，具体您可以看下这个对比图，湿区推荐12倍和18倍防霉款哦~[发送密封胶商品对比图]
227,商品咨询与推荐,商品属性咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶开封后能放多久？保质期还管用吗？",建议一次性使用完成的，如果有剩余，建议及时清洗胶嘴，密封避光保存，短时间内尽快使用完成避免胶体凝固无法使用哦~
228,商品咨询与推荐,商品属性咨询,玻璃胶购买时会赠送打胶工具，方便用户自行施工，无需额外购买,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
购买玻璃胶送施工工具吗？",亲亲您好，购买12倍及以上防霉款密封胶单支赠送胶枪工具，其他密封胶需要购买2支及以上赠送胶枪工具。赠送的工具包含基本的打胶用具，足够完成日常的密封填缝工作。如果需要铲除旧胶，可以另外购买铲胶工具，或者选择带铲胶工具的套装。
229,商品咨询与推荐,商品属性咨询,美缝贴产品主要适用于厨房水池、水槽、卫生间马桶等位置的缝隙填补，不适合用于乳胶漆墙面,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
美缝贴适用于哪些场景？",亲亲您好，防水防霉美缝贴主要适用于厨房水池、水槽、卫生间马桶等位置的缝隙填补，具有防水防霉的功能。这款产品设计用于瓷砖、陶瓷等光滑表面的缝隙密封，不建议用于乳胶漆墙面。乳胶漆墙面的缝隙修补建议使用补墙膏或墙面修补漆等专用产品，效果更好且不易脱落。
230,商品咨询与推荐,商品属性咨询,大支胶和小支胶用的都是通用胶枪，操作方式基本相同，容易上手,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
大支玻璃胶和小支玻璃胶用的胶枪是一样的吗？",亲亲您好，小支胶为手挤款，无需搭配胶枪，大支胶需要搭配胶枪，参考操作视频上手简单。购买玻璃胶时可以根据实际用量选择合适的规格，如果是首次使用，建议先在不显眼位置试打，熟悉出胶手感。大支玻璃胶施工视频：https://cloud.video.taobao.com/vod/aZOF36_QbszBMnjp2Wu5oO52-EeTfEQmPiBmo3Z2huQ.mp4
231,商品咨询与推荐,商品效果预期,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶的防霉效果能维持多久？",亲亲，玻璃胶最高18倍防霉效果，指相比普通产品，霉菌滋生速度延缓18倍，正常使用可以质保20年不发霉哦~
232,商品咨询与推荐,商品效果预期,玻璃胶正常使用10-15年不会变黄发霉，具有优异的耐黄变性能,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
玻璃胶使用时间长了会变黄或发霉吗？",您好！立邦玻璃胶具有优异的耐黄变和防霉性能，正常使用10-15年是没问题的。产品特点如下：1）耐黄变性能：采用优质原料配方，长期使用不会变黄，保持透明或白色外观；2）防霉性能：所有产品都具有防水防霉功能，12倍和18倍防霉款在潮湿环境下也不会发霉；3）使用寿命：在正常使用和维护条件下，可以保持10-15年的良好状态。如果在使用过程中出现产品质量问题（如一年内变黄），可以随时联系我们，我们有专业的售后人员为您跟进处理。
233,商品咨询与推荐,商品用量咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶建议用量是多少？",亲亲您好，小支150ml玻璃胶大概可以施工5-6米左右（5mm缝隙）开盖后手动挤出使用即可，大支300ml玻璃胶大概可以施工10-12米左右（5mm缝隙）建议搭配工具使用，都是操作简单非常方便的，具体您可以根据您的施工情况选择哦~
234,商品咨询与推荐,商品用量咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
小支的防霉密封胶能打多少？",亲亲，小支的这款密封胶一管大约能打出5-6米长的胶条（5mm宽度），实际使用中会因缝隙大小和施工手法有差异。
235,商品咨询与推荐,商品用量咨询,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶有几种容量？分别能用多长？",亲亲，这款玻璃胶目前仅有150ml与300ml两种规格，150ml大概可以施工5-6m左右（5mm的缝隙），300ml大概可以施工10-12m左右（5mm的缝隙），具体以您实际施工用量为准哦~
236,商品咨询与推荐,商品选型,厨房卫生间缝隙发霉应选择防水防霉玻璃胶或塑钢泥，具有防霉防水性能，适合潮湿环境,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
厨房卫生间缝隙发霉应该选择哪款密封胶？",亲亲您好，厨房卫生间缝隙发霉建议选择Gplus-防水防霉密封胶。这类产品具有防霉防水性能，专门针对潮湿环境设计。施工前建议先清除原有发霉的旧胶，确保新胶能牢固粘接。这是商品链接您看下哈～https://detail.tmall.com/item.htm?id=681035295767&skuId=5931444260200
237,商品咨询与推荐,商品选型,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
门窗收边用什么型号的胶？",亲亲门窗收边看下这款哦～https://detail.tmall.com/item.htm?id=662639606348
238,商品咨询与推荐,商品选型,踢脚线封边可使用玻璃胶，玻璃胶具有防水防霉功能，适合缝隙密封场景,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
踢脚线封边应该用什么胶？",亲亲您好，踢脚线封边可以使用玻璃胶，玻璃胶具有防水防霉功能，非常适合缝隙密封场景。如果是白色踢脚线，可以选择白色玻璃胶，颜色更协调。玻璃胶主要用于密封填缝，如果是踢脚线脱落需要粘接固定，建议使用免钉胶，粘接力更强。这是商品链接您看下哈https://detail.tmall.com/item.htm?id=681035295767&skuId=5435495806855
239,商品咨询与推荐,商品选型,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
厨房卫生间有水的地方应该选择哪种密封胶啊？",亲亲您好，对于水池、卫生间这类高湿区域，建议选择18倍防霉玻璃胶，防水、抗菌、耐黄效果更好，能有效抵抗潮湿环境下的霉菌滋生。这是商品链接您看下哈～https://detail.tmall.com/item.htm?id=681035295767&skuId=5931444260200
240,商品咨询与推荐,商品选型,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
玻璃胶选白色还是透明的呢？",亲亲，根据您家的水池颜色哦，如果是白色就买白色或者透明色都可以的～
241,商品咨询与推荐,商品选型,高湿区域如水池和卫生间需要选择高倍数防霉玻璃胶，12倍防霉效果优于3倍和6倍,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
水池和卫生间区域应该选择几倍防霉的玻璃胶？",亲亲您好，水池和卫生间属于高湿区域，建议选择18倍防霉玻璃胶。相比3倍和6倍，18倍防霉效果更好，防水、抗菌、耐黄性能更强。高湿环境长期接触水汽，需要更强的防霉能力才能保持长久效果。这是商品链接您看下哈～https://detail.tmall.com/item.htm?id=681035295767&skuId=5931444260200
242,商品咨询与推荐,适用场景匹配,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶能用来粘镜子吗？",亲亲，不建议粘镜子的，由于镜子的镀银层可能受胶体影响，长期使用可能导致氧化或脱落。
243,商品咨询与推荐,适用场景匹配,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
马桶底座松动了，什么胶能粘合固定",亲亲，马桶底座松动用这款立邦G-PLUS防水防霉密封胶就行，施工前记得先把底座擦干净、晾干，再沿着缝隙均匀打一圈胶，压紧固定就好啦。这是商品链接，您看下哈https://detail.tmall.com/item.htm?id=662639606348
244,商品咨询与推荐,适用场景匹配,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
马桶底部可以用防霉密封胶吗？",亲亲可以的，咱们这款GPLUS 18倍防霉密封胶，特别适合用在马桶底部这种潮湿区域，密封防霉效果很稳。
245,商品咨询与推荐,适用场景匹配,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶能用来堵角阀漏水吗？",亲亲，玻璃胶不建议长期用于角阀堵漏哦~长期使用可能因水压或温差老化开裂，仅建议应急哦~
246,商品咨询与推荐,适用场景匹配,,边缘缝隙封闭,"https://detail.tmall.com/item.htm?id=681035295767
防霉密封胶能用来修复漏水的鱼缸吗？",亲亲，鱼缸漏水不建议使用的哦~玻璃胶不建议使用在长期泡水环境哦~
247,主动转人工,,非商品知识,无,我要转人工客服,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
248,主动转人工,,非商品知识问题需转人工处理,无,人工客服在吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
249,主动转人工,,非商品知识问题需转人工处理,无,有人工吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
250,促销与补贴,优惠活动咨询,非商品知识问题需转人工处理,无,评价返2元红包吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
251,促销与补贴,优惠活动咨询,非商品知识问题需转人工处理,无,有什么优惠活动？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
252,促销与补贴政策,价格政策咨询,非商品知识问题需转人工处理,无,我的订单返现,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
253,促销与补贴政策,价格政策咨询,非商品知识问题需转人工处理,无,你好，我的订单有价保吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
254,促销与补贴政策,价格政策咨询,非商品知识,无,返30元是收到货之后返吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
255,促销与补贴政策,价格政策咨询,非商品知识,无,好评有奖励吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
256,促销与补贴政策,价格政策咨询,非商品知识,无,你好，我看到赞评说返3元，现在还有吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
257,促销与补贴政策,优惠活动咨询,非商品知识问题需转人工处理,无,直播优惠的价格没有了吗？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
258,促销与补贴政策,优惠活动咨询,非商品知识问题需转人工处理,无,什么优惠,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
259,促销与补贴政策,优惠活动咨询,非商品知识问题需转人工处理,无,这个百亿补贴什么时候结束,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
260,促销与补贴政策,会员与积分,非商品知识,无,会员专享福利红包,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
261,售后问题,,非商品知识问题需转人工处理,无,未收到工具转人工,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
262,售后问题,,非商品知识问题需转人工处理,无,我的订单已过售后期，需要发起售后申请，请尽快帮我打开售后入口，谢谢,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
263,售后问题,,非商品知识问题需转人工处理,无,老板，漆收到一桶，但那铁棍还未收到，不是一起发货吗？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
264,售后问题,,非商品知识问题需转人工处理,无,我的订单已过售后期，需要发起售后申请，请尽快帮我打开售后入口，谢谢,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
265,售后问题,,非商品知识问题需转人工处理,无,那你的售后是怎样给我售后,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
266,售后问题,,非商品知识问题需转人工处理,无,快递公司说胶水烂掉，漏掉了,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
267,售后问题,,非商品知识问题需转人工处理,无,包裹都破损了,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
268,售后问题,,非商品知识问题需转人工处理,无,你好 收到的收边胶有点干 产品是不是有问题啊,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
269,售后问题,,非商品知识问题需转人工处理,无,收货包装也很破 里面都是散装 是不是你们官方旗舰店发的货啊,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
270,售后问题,,非商品知识,无,你好，退一下之前买色卡小样的钱,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
271,售后问题,,非商品知识,无,去年11月买的，发来就过期了，怎么回事？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
272,售后问题,,非商品知识,无,为啥不是立邦包装的,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
273,售后问题,,非商品知识,无,售后订单咨询,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
274,售后问题,,非商品知识,无,你好，刚刚快递打电话来说那个桶坏了，已经拒收了,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
275,家装行业相关,颜色相关咨询,非商品知识,无,我到时候哪里调色呀,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
276,店铺或品牌相关,品牌认知&公关话术,非商品知识问题需转人工处理,无,是正品立邦品牌吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
277,支付问题,支付方式,非商品知识,无,为什么只能花呗付款,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
278,服务政策咨询,物流政策咨询,非商品知识问题需转人工处理,无,这两个订单是一起发货还是分开发货,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
279,服务政策咨询,物流政策咨询,非商品知识问题需转人工处理,无,尽快发货，着急用,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
280,服务政策咨询,物流政策咨询,非商品知识问题需转人工处理,无,今天能发货吧,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
281,服务政策咨询,物流政策咨询,非商品知识问题需转人工处理,无,不送货上门，就投诉那个说送货上门的客服！,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
282,服务政策咨询,物流政策咨询,非商品知识问题需转人工处理,无,物流反馈了吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
283,服务政策咨询,物流政策咨询,非商品知识问题需转人工处理,无,如何查询物流信息？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
284,服务政策咨询,物流政策咨询,非商品知识,无,订单是一起发货还是分开发货？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
285,服务政策咨询,物流政策咨询,非商品知识,无,运费怎么算的,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
286,服务政策咨询,物流政策咨询,非商品知识,无,没有运费险么,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
287,服务政策咨询,质保/维修方案,非商品知识问题需转人工处理,无,你的售后保障是什么,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
288,服务政策咨询,质保/维修方案,非商品知识,无,打开试用不好用能退吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
289,服务政策咨询,退换货政策咨询,非商品知识问题需转人工处理,无,我那个货不要发了，我要退货,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
290,服务政策咨询,退换货政策咨询,非商品知识问题需转人工处理,无,你好，我这个结构胶有多了6支出来，可以申请退款吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
291,服务政策咨询,退换货政策咨询,非商品知识问题需转人工处理,无,你好，我想了一下，我还要留一组在家备用，现在怎么修改退款金额？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
292,服务政策咨询,退换货政策咨询,非商品知识问题需转人工处理,无,这订单还能退货吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
293,服务政策咨询,退换货政策咨询,非商品知识问题需转人工处理,无,用不完可以退货吗？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
294,服务政策咨询,退换货政策咨询,非商品知识问题需转人工处理,无,如何申请退货退款？,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
295,服务政策咨询,退换货政策咨询,非商品知识,无,剩了一桶，赠品都退给你,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
296,订单操作,修改订单,非商品知识问题需转人工处理,无,你好，地址错了,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
297,订单操作,修改订单,非商品知识,无,漆我已经下单了，暂时没有送货，我想要调色,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
298,订单操作,确认订单,非商品知识问题需转人工处理,无,看看我这个订单是几支胶,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
299,订单操作,确认订单,非商品知识,无,这样下单可以吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
300,订单操作,订单备注,非商品知识问题需转人工处理,无,可以备注送点吗,您好，该问题涉及物流/政策/售后等非商品知识内容，需要转人工客服为您处理，请稍等。
